idx,team_idx,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,6,3.45,122,70,49,37,50,0.588,1091 2/3,999,83,387,79,1130,462,419,1.27
2,9,3.5,121,60,57,30,73,0.513,1081,963,92,443,64,1000,466,420,1.3
3,1,3.59,123,75,45,38,69,0.625,1094 1/3,1033,77,418,52,905,469,436,1.33
4,8,3.95,124,60,60,33,53,0.5,1099 1/3,1153,91,383,50,908,549,483,1.4
5,2,4.15,123,61,60,19,60,0.504,1083 1/3,1078,116,376,61,902,555,499,1.34
6,4,4.27,123,54,64,28,59,0.458,1095 1/3,1062,91,463,86,880,582,520,1.39
7,5,4.47,120,57,59,29,74,0.491,1065,1086,88,421,66,876,589,529,1.42
8,3,4.51,125,61,59,34,65,0.508,1113 1/3,1136,107,470,64,1029,616,558,1.44
9,7,4.84,118,55,57,31,78,0.491,1037 1/3,1040,114,523,83,843,637,558,1.51
10,10,5.52,125,39,82,25,44,0.322,1105 1/3,1272,134,487,79,818,762,678,1.59
