팀명,LG,한화,SSG,롯데,삼성,KT,KIA,NC,두산,키움,합계
LG,■,7-5-1,10-5-0,8-4-2,9-6-0,7-4-0,10-4-0,8-6-0,8-6-0,8-5-0,75-45-3
한화,5-7-1,■,8-7-0,7-6-0,7-5-0,9-5-0,8-4-0,8-6-1,6-8-1,12-1-0,70-49-3
SSG,5-10-0,7-8-0,■,8-5-0,6-8-1,8-6-0,5-7-1,7-2-1,7-5-0,7-6-1,60-57-4
롯데,4-8-2,6-7-0,5-8-0,■,5-7-1,8-5-2,7-8-0,7-7-0,6-7-0,11-4-0,61-59-5
삼성,6-9-0,5-7-0,8-6-1,7-5-1,■,4-9-0,7-6-0,8-7-0,9-6-0,9-3-0,61-60-2
KT,4-7-0,5-9-0,6-8-0,5-8-2,9-4-0,■,5-8-0,6-7-1,10-4-1,10-5-0,60-60-4
KIA,4-10-0,4-8-0,7-5-1,8-7-0,6-7-0,8-5-0,■,5-5-0,8-6-1,7-6-2,57-59-4
NC,6-8-0,6-8-1,2-7-1,7-7-0,7-8-0,7-6-1,5-5-0,■,6-3-2,9-5-1,55-57-6
두산,6-8-0,8-6-1,5-7-0,7-6-0,6-9-0,4-10-1,6-8-1,3-6-2,■,4-9-0,54-64-5
키움,5-8-0,1-12-0,6-7-1,4-11-0,3-9-0,5-10-0,6-7-2,5-9-1,9-4-0,■,39-82-4
